timestamp,Face
0,1@887.3:-13.2:398.8:502.1
0.042,
2.458,0.95@1069.2:230:274.7:303.7
2.5,
2.542,0.84@1031.1:201.7:288.7:376.5
2.583,1@1022.8:196.9:278.4:467.5
2.625,0.97@1044.2:183.6:274.7:425.3
2.667,0.97@1037.7:212:273.1:365.7
2.708,0.99@1040:218.9:270.1:396.5
2.75,0.99@1059.5:228.3:281.3:320.4
2.792,0.97@1075.9:214.8:286.2:336.5
2.833,0.99@1094.5:200.2:303.6:363.6
2.875,1@1097.7:223.1:299.9:315.9
2.917,1@1111.6:201.2:289.4:323.6
2.958,1@1080.1:176.2:326.7:361.2
3,1@1083.5:166.3:328.2:379.4
3.042,1@1124.6:158.3:296.4:363
3.083,1@1116.6:149.3:333.5:385.2
3.125,0.99@582.8:188.8:189.5:351.6
3.167,1@572.1:175.6:199:356.6
3.208,0.99@571.8:191.6:186.6:337.3
3.25,0.99@572.3:191.8:184:333
3.292,1@554.9:179.5:194.2:350.5
3.333,1@563.6:190:179.2:329.1
3.375,1@539.6:168.3:203.6:339
3.417,1@529.2:159.5:205.2:333.4
3.458,1@520:150.2:204.6:347
3.5,1@518.5:149.4:195:344
3.542,1@510:165.7:193.8:329.4
3.583,1@506.4:145.4:190.6:351
3.625,1@496.4:147.8:204.2:346
3.667,1@500.9:144.6:199:347.6
3.708,1@498.2:156.5:200.5:338.4
3.75,1@496.8:147.8:213.4:345.3
3.792,1@496.9:157.2:215.7:338.1
3.833,1@510.7:159.9:215.6:331
3.875,1@506.7:158.8:221.6:329
3.917,1@510.1:155.8:227.9:331.2
3.958,1@509.3:153.7:233.7:337
4,1@502.4:156.8:246.1:333.1
4.042,1@502.7:158.2:246.9:333.6
4.083,1@503.7:171.2:247.5:322.5
4.125,1@500.6:174:252.9:325.1
4.167,1@494.7:180.5:259.4:321
4.208,1@503.2:175.6:255.2:322.1
4.25,1@499.2:172.9:260:325
4.292,1@504.4:176.2:257.7:324.7
4.333,1@510.7:174.1:251.7:324.3
4.375,1@522.5:172.7:242:321.3
4.417,1@526.5:168:239.7:330.7
4.458,1@527.9:167.3:243.9:332.5
4.5,1@520.8:167.1:260:336.2
4.542,1@532.9:176.2:252:315.1
4.583,1@546.3:183.3:239.8:309.4
4.625,1@555.9:179.2:233.8:331.2
4.667,1@568.6:192.6:224.9:318.5
4.708,1@583.9:187.4:214.3:325.7
4.75,1@588.5:192.9:220.3:326.4
4.792,1@594.9:183.2:225.2:335.1
4.833,1@600.1:184.2:231.2:343
4.875,1@609.1:186.3:235.3:337.1
4.917,1@617.3:184.9:234.6:340.8
4.958,1@606.6:192.1:253.9:341.2
5,1@619.8:194.1:246.3:344.1
5.042,1@634.1:197.5:236.8:339.1
5.083,1@643.5:198.3:230.4:337.6
5.125,1@652.4:206.1:225.2:325.2
5.167,1@658.3:214.9:236.9:333.5
5.208,1@676.6:199.2:221.7:344.6
5.25,1@668:208.5:234.8:330.1
5.292,1@675.7:203.6:227.6:336.8
5.333,1@681.5:191.5:232.7:348
5.375,1@698.2:195.2:211.6:342
5.417,1@693.5:174.8:217.1:365.7
5.458,1@687.3:187.2:228.9:343.6
5.5,1@705:177.7:222:348.2
5.542,1@694.3:193:234.9:323.6
5.583,1@691.5:177.6:249.1:331.6
5.625,1@691.6:174.2:246.3:328.4
5.667,1@689.3:169.9:250.2:328.9
5.708,1@686.8:170.2:250.9:315.5
5.75,1@678.6:156.5:260.1:325.4
5.792,1@696.1:141:245.3:326.6
5.833,1@706.4:134.1:227.3:339.2
5.875,1@696.9:129:237.1:338.1
5.917,1@685.2:126.2:243.9:331.7
5.958,1@685.7:122.8:238.4:336.8
6,1@686.5:113.3:237.3:344
6.042,1@692.3:124.6:224.2:332.8
6.083,1@697.6:119.6:224.3:328.9
6.125,1@702.2:115.9:217.8:332.4
6.167,1@693.6:121.6:225.6:333.5
6.208,1@692.8:116.8:228.8:337.8
6.25,1@693:118.5:228.8:328.4
6.292,1@692.1:122.2:228.9:323.6
6.333,
9,0.9@1432.9:308.3:71.2:88.8
9.042,
9.125,0.85@1429.2:292.1:84:103.8
9.167,0.94@1429.6:287.4:76.2:105.1
9.208,
9.417,0.86@1434.3:287.3:67.2:82.7
9.458,
9.917,0.82@1409:265.8:82.7:100.3
9.958,0.84@1405:267.8:84.4:96.7
10,
10.042,0.88@1407.6:263.6:80:99.2
10.083,
10.167,0.9@1408.5:255.5:79.5:111.9
10.208,0.92@1406.5:255.8:79.4:110.7
10.25,0.86@1397.4:258.7:76.6:112.6
10.292,0.83@1407:259:78.7:106.7
10.333,0.88@1389:252.2:86.1:119.9
10.375,0.86@1371:246.6:100.2:132
10.417,0.97@1359.4:242.6:104.3:136.9
10.458,0.87@1353.7:237.6:103.6:144.9
10.5,
10.542,0.95@1361.4:244.3:110.6:135.7
10.583,0.96@1358.9:247.9:104.1:130.7
10.625,0.89@1361.7:250.1:99.4:127.7
10.667,0.84@1361:250.6:94.4:127.8
10.708,0.96@1360.5:251.4:100.8:127
10.75,0.96@1365:249.5:97.8:127.7
10.792,0.98@1365.1:247.5:101:130.2
10.833,0.98@1366.7:248:98.6:129.8
10.875,0.95@1370.3:248.4:92.9:128
10.917,0.94@1371.2:248.3:90.3:128.8
10.958,0.82@1366.6:247:90.1:131.9
11,1@631.8:46.5:438.2:573.5
11.042,1@640.7:46.8:427.8:564.4
11.083,1@647.4:46.6:420.9:576.4
11.125,1@645.8:46.9:424:579.9
11.167,1@645.1:48:428.8:580.9
11.208,1@636.9:72.5:435.9:592.3
11.25,1@638.9:82.8:438.3:586.2
11.292,1@650:54:425.6:586.4
11.333,1@645.5:56.2:434.2:584.5
11.375,1@649.9:57.6:428.3:583.9
11.417,1@652:86.1:413.6:588.8
11.458,0.99@645.1:89.3:401.4:569.4
11.5,1@648.8:87.4:398.1:584.3
11.542,0.99@654.1:91.8:399.8:596.3
11.583,1@636.1:80.3:422.7:625.2
11.625,1@641.7:77.2:423.7:630
11.667,1@634.2:70.1:440.2:651.2
11.708,1@629.7:71.4:436.3:642.2
11.75,1@639.2:79.3:425.3:639.3
11.792,1@645.4:91.6:413.6:617.8
11.833,1@649.7:101.6:419.7:613.5
11.875,1@651.5:111.3:429.6:599.7
11.917,1@648.6:115.8:431:587.1
11.958,0.99@657.4:116.8:417.9:580.4
12,0.99@659.6:112.4:405.4:601.9
12.042,1@640:108.5:429.9:620.9
12.083,1@646.8:116.8:419.8:602.5
12.125,1@651.2:118.3:406.3:595.3
12.167,1@669.2:125.8:384.7:573.1
12.208,0.99@658:111.2:414.5:606.3
12.25,0.99@652.1:100:422:618.3
12.292,0.97@653.6:89.4:426.6:617.9
12.333,0.99@639:92.6:451:624.9
12.375,1@627.7:93.4:459.5:645.3
12.417,1@634.3:99.3:456.9:647.5
12.458,0.99@652.8:109.4:435.4:629.1
12.5,0.98@667.5:107.6:422.3:646.2
12.542,0.98@674.3:125.7:416.5:607.5
12.583,1@671.9:125.2:426.8:626.2
12.625,1@672:129.3:431.9:608.8
12.667,1@666:133.5:447.6:612.9
12.708,1@678.6:133.7:426.1:608.6
12.75,1@676.3:144.5:424.4:599.5
12.792,1@673.2:150.5:429.2:583.5
12.833,1@663:153:441.1:589
12.875,1@671.3:156.1:437.6:592.6
12.917,1@659:146.1:464.8:608.6
12.958,1@658.7:149.3:461.8:600.8
13,1@667.6:149.4:461.1:598.8
13.042,1@673.2:149.7:457:601.8
13.083,1@669:150:462.4:600.7
13.125,1@675.9:150:457.6:597.9
13.167,1@681.3:148:457.6:609.8
13.208,0.99@695:150.8:441:610
13.25,1@687.7:146.9:460:622.9
13.292,1@691.3:140.7:453.1:627.3
13.333,1@699.5:141.2:443.6:620.8
13.375,1@703.9:142.2:445.5:620.7
13.417,1@700.5:143.2:448.3:621.3
13.458,1@690.6:145.8:448.3:607.1
13.5,1@689.9:148.7:443.3:609.9
13.542,0.99@701.7:156:435.4:597.3
13.583,0.99@699.2:148.5:437.2:604.4
